"GEO_ID","NAME","P3_001N","P3_002N","P3_003N","P3_004N","P3_005N","P3_006N","P3_007N","P3_008N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!White alone"," !!Total:!!Black or African American alone"," !!Total:!!American Indian and Alaska Native alone"," !!Total:!!Asian alone"," !!Total:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Some Other Race alone"," !!Total:!!Two or More Races",
"860Z200US00601","ZCTA5 00601","17242","3785","578","75","6","0","3358","9440",
"860Z200US00602","ZCTA5 00602","37548","8501","1486","156","23","7","9351","18024",
"860Z200US00603","ZCTA5 00603","49804","10614","2073","224","55","8","13363","23467",
"860Z200US00606","ZCTA5 00606","5009","1106","384","75","10","0","1524","1910",
"860Z200US00610","ZCTA5 00610","25731","4713","1472","71","7","8","6228","13232",
"860Z200US00611","ZCTA5 00611","1671","247","21","7","3","0","292","1101",
"860Z200US00612","ZCTA5 00612","62425","10894","2499","236","58","3","14731","34004",
"860Z200US00616","ZCTA5 00616","9828","2224","632","60","5","0","2245","4662",
"860Z200US00617","ZCTA5 00617","22541","3555","927","110","14","7","5066","12862",
"860Z200US00622","ZCTA5 00622","7838","1558","262","34","4","3","1940","4037",
"860Z200US00623","ZCTA5 00623","39320","8003","1535","181","44","8","8882","20667",
"860Z200US00624","ZCTA5 00624","21709","4924","1411","90","10","5","5958","9311",
"860Z200US00627","ZCTA5 00627","32873","7468","1246","122","5","3","7077","16952",
"860Z200US00631","ZCTA5 00631","1414","248","36","6","1","0","429","694",
"860Z200US00636","ZCTA5 00636","555","88","34","3","0","0","144","286",
"860Z200US00637","ZCTA5 00637","23124","4585","930","98","13","12","5359","12127",
"860Z200US00638","ZCTA5 00638","18109","3701","545","130","19","0","3233","10481",
"860Z200US00641","ZCTA5 00641","24292","5383","595","116","16","5","5854","12323",
"860Z200US00646","ZCTA5 00646","36272","6363","2736","145","106","8","9400","17514",
"860Z200US00647","ZCTA5 00647","4611","735","224","12","2","0","1221","2417",
"860Z200US00650","ZCTA5 00650","13637","1951","284","30","5","2","3874","7491",
