date,isin_corporate_name_cleaned,company_parent_country,target_country1,target_country2,target_country3,target_country4,target_country5,target_country6,ngo_name1,ngo_name2,ngo_name3,ngo_name4,ngo_name5
2010-12-23,Deutsche Bank ,Germany,Germany,,,,,,Urgewald,,,,
2010-12-23,Commerzbank ,Germany,Germany,,,,,,Urgewald,,,,
2010-12-23,UniCredit ,Italy,Germany,,,,,,Urgewald,,,,
2010-12-23,UniCredit ,Italy,Germany,,,,,,Urgewald,,,,
2010-12-22,,Sweden,Canada,,,,,,Greenpeace Norway,,,,
2010-12-20,,US,Canada,EU-Brussels,,,,,Council of Canadians,,,,
2010-12-20,,US,Canada,EU-Brussels,,,,,Council of Canadians,,,,
2010-12-20,HSBC   ,UK,UK,,,,,,UK Uncut,,,,
2010-12-17,,US,Peru,,,,,,WWF Peru,Derecho Ambiente y Recursos Naturales DAR,CooperAccion,,
2010-12-17,Morgan Stanley ,US,US,,,,,,Center For Political Accountability,,,,
2010-12-17,Wells Fargo ,US,US,,,,,,Center For Political Accountability,,,,
2010-12-17,Goldman Sachs ,US,US,,,,,,Center For Political Accountability,,,,
2010-12-17,,US,Canada,,,,,,Greenpeace Canada,Pembina Institute ,Sierra Club Canada,,
2010-12-14,,US,France,,,,,,Sherpa,,,,
2010-12-14,,US,France,,,,,,Sherpa,,,,
2010-12-13,,US,Malaysia,,,,,,Pesticide Action Network Asia Pacific PAN AP,,,,
2010-12-13,Morgan Stanley ,US,Malaysia,,,,,,Pesticide Action Network Asia Pacific PAN AP,,,,
2010-12-13,Goldman Sachs ,US,Malaysia,,,,,,Pesticide Action Network Asia Pacific PAN AP,,,,
2010-12-13,BlackRock ,US,Malaysia,,,,,,Pesticide Action Network Asia Pacific PAN AP,,,,
2010-12-13,,US,Zambia,,,,,,Counter Balance-EIB,,,,
2010-12-13,ING Groep ,Netherlands,Denmark,,,,,,Forbrugerraadet Taenk / Danish Consumer Council,,,,
2010-12-13,ING Groep ,Netherlands,Denmark,,,,,,Forbrugerraadet Taenk / Danish Consumer Council,,,,
2010-12-10,BNP Paribas ,France,Morocco,Western Sahara,,,,,Western Sahara Resource Watch WSRW,,,,
2010-12-10,HSBC   ,UK,Morocco,Western Sahara,,,,,Western Sahara Resource Watch WSRW,,,,
2010-12-10,Societe Generale ,France,Morocco,Western Sahara,,,,,Western Sahara Resource Watch WSRW,,,,
2010-12-10,,France,Morocco,Western Sahara,,,,,Western Sahara Resource Watch WSRW,,,,
2010-12-10,Standard Chartered  ,UK,Morocco,Western Sahara,,,,,Western Sahara Resource Watch WSRW,,,,
2010-12-08,Bank of America ,US,US,,,,,,Climate Counts ,,,,
2010-12-08,,US,US,,,,,,Climate Counts ,,,,
2010-12-07,BNP Paribas ,France,France,,,,,,Greenpeace France,Greenpeace India ,,,
2010-12-06,Barclays  ,UK,UK,,,,,,UK Uncut,,,,
2010-12-03,,UK,EU-Brussels,,,,,,Corporate Europe Observatory / CEO,,,,
2010-12-03,Goldman Sachs ,US,EU-Brussels,,,,,,Corporate Europe Observatory / CEO,,,,
2010-12-03,,US,EU-Brussels,,,,,,Corporate Europe Observatory / CEO,,,,
2010-12-03,Aimia ,UK,EU-Brussels,,,,,,Corporate Europe Observatory / CEO,,,,
