date,isin_corporate_name_cleaned,company_parent_country,company_parent,sentiment,target_country1,target_country2,target_country3,target_country4,target_country5,target_country6,ngo_name1,ngo_name2,ngo_name3,ngo_name4,ngo_name5
2010-12-23,Deutsche Bank ,Germany,Deutsche Bank,-2,Germany,,,,,,Urgewald,,,,
2010-12-23,Commerzbank ,Germany,Commerzbank,-1,Germany,,,,,,Urgewald,,,,
2010-12-23,UniCredit ,Italy,UniCredit,-1,Germany,,,,,,Urgewald,,,,
2010-12-23,UniCredit ,Italy,UniCredit,-1,Germany,,,,,,Urgewald,,,,
2010-12-22,,Sweden,Skandinaviska Enskilda Banken AB (SEB),-1,Canada,,,,,,Greenpeace Norway,,,,
2010-12-20,,US,World Bank,0,Canada,EU-Brussels,,,,,Council of Canadians,,,,
2010-12-20,,US,World Bank,0,Canada,EU-Brussels,,,,,Council of Canadians,,,,
2010-12-20,HSBC   ,UK,HSBC,-1,UK,,,,,,UK Uncut,,,,
2010-12-17,,US,Inter-American Development Bank,-1,Peru,,,,,,WWF Peru,Derecho Ambiente y Recursos Naturales DAR,CooperAccion,,
2010-12-17,Morgan Stanley ,US,Morgan Stanley,1,US,,,,,,Center For Political Accountability,,,,
2010-12-17,Wells Fargo ,US,Wells Fargo & Wachovia,1,US,,,,,,Center For Political Accountability,,,,
2010-12-17,Goldman Sachs ,US,"Goldman Sachs Group, Inc.",0,US,,,,,,Center For Political Accountability,,,,
2010-12-17,,US,World Bank,-1,Canada,,,,,,Greenpeace Canada,Pembina Institute ,Sierra Club Canada,,
2010-12-14,,US,World Bank,0,France,,,,,,Sherpa,,,,
2010-12-14,,US,International Monetary Fund / IMF,0,France,,,,,,Sherpa,,,,
2010-12-13,,US,World Bank,-1,Malaysia,,,,,,Pesticide Action Network Asia Pacific PAN AP,,,,
2010-12-13,Morgan Stanley ,US,Morgan Stanley,-1,Malaysia,,,,,,Pesticide Action Network Asia Pacific PAN AP,,,,
2010-12-13,Goldman Sachs ,US,"Goldman Sachs Group, Inc.",-1,Malaysia,,,,,,Pesticide Action Network Asia Pacific PAN AP,,,,
2010-12-13,BlackRock ,US,BlackRock,-1,Malaysia,,,,,,Pesticide Action Network Asia Pacific PAN AP,,,,
2010-12-13,,US,World Bank,-1,Zambia,,,,,,Counter Balance-EIB,,,,
2010-12-13,ING Groep ,Netherlands,ING,-1,Denmark,,,,,,Forbrugerraadet Taenk / Danish Consumer Council,,,,
2010-12-13,ING Groep ,Netherlands,ING,-1,Denmark,,,,,,Forbrugerraadet Taenk / Danish Consumer Council,,,,
2010-12-10,BNP Paribas ,France,BNP Paribas,-1,Morocco,Western Sahara,,,,,Western Sahara Resource Watch WSRW,,,,
2010-12-10,HSBC   ,UK,HSBC,-1,Morocco,Western Sahara,,,,,Western Sahara Resource Watch WSRW,,,,
2010-12-10,Societe Generale ,France,Societe Generale,-1,Morocco,Western Sahara,,,,,Western Sahara Resource Watch WSRW,,,,
2010-12-10,,France,Credit Agricole,-1,Morocco,Western Sahara,,,,,Western Sahara Resource Watch WSRW,,,,
2010-12-10,Standard Chartered  ,UK,Standard Chartered Bank,-1,Morocco,Western Sahara,,,,,Western Sahara Resource Watch WSRW,,,,
2010-12-08,Bank of America ,US,Bank of America,-1,US,,,,,,Climate Counts ,,,,
2010-12-08,,US,PNC Bank,-1,US,,,,,,Climate Counts ,,,,
2010-12-07,BNP Paribas ,France,BNP Paribas,-1,France,,,,,,Greenpeace France,Greenpeace India ,,,
2010-12-06,Barclays  ,UK,Barclays Bank,-1,UK,,,,,,UK Uncut,,,,
2010-12-03,,UK,RBS Group,-1,EU-Brussels,,,,,,Corporate Europe Observatory / CEO,,,,
2010-12-03,Goldman Sachs ,US,"Goldman Sachs Group, Inc.",-1,EU-Brussels,,,,,,Corporate Europe Observatory / CEO,,,,
